"Compound Name","Formula","Mass","RT","CAS ID",n_mix3,n_mix4,n_mix5,n_mix6,n_mix7,n_mix8,n_mix9,n_set1_blue_546_R2,n_set1_blue_617_R4,n_set1_blue_618_R1,n_set1_blue_648_R3,n_set1_blue_669_L1,n_set1_blue_713_R2,n_set1_blue_773_R8,n_set1_gray_551_L2,n_set1_gray_573_R2,n_set1_gray_608_R3,n_set1_gray_796_L1,n_set1_gray_796_R5,n_set1_gray_843_L4,n_set1_gray_843_L5,n_set1_green_574_R1,n_set1_green_592_L3,n_set1_green_593_R1,n_set1_green_614_R4,n_set1_green_675_L6,n_set1_green_675_L9,n_set1_green_773_L2,n_set1_pink_670_L3,n_set1_pink_672_L1,n_set1_pink_686_R1,n_set1_pink_751_L1,n_set1_pink_754_L1,n_set1_pink_847_R2,n_set1_pink_847_R3,n_set1_purple_552_R5,n_set1_purple_552_R6,n_set1_purple_605_L3,n_set1_purple_608_L1,n_set1_purple_611_L4,n_set1_purple_621_L1,n_set1_purple_843_L7,n_set1_yellow_599_L3,n_set1_yellow_666_R2,n_set1_yellow_670_R3,n_set1_yellow_672_R5,n_set1_yellow_751_L3,n_set1_yellow_751_R4,n_set1_yellow_847_R6,n_set2_blue_561_L3,n_set2_blue_592_R4,n_set2_blue_617_L3,n_set2_blue_617_L4,n_set2_blue_669_L2,n_set2_blue_669_L4,n_set2_blue_675_R2,n_set2_blue_772_R1,n_set2_gray_551_R3,n_set2_gray_610_L2,n_set2_gray_611_L5,n_set2_gray_621_R1,n_set2_gray_621_R2,n_set2_gray_796_L2,n_set2_gray_796_R1,n_set2_gray_796_R4,n_set2_green_593_R3,n_set2_green_643_L1,n_set2_green_661_R2,n_set2_green_675_L1,n_set2_green_675_L3,n_set2_green_675_L7,n_set2_green_772_L2,n_set2_green_773_R7,n_set2_pink_670_L2,n_set2_pink_670_L5,n_set2_pink_670_L6,n_set2_pink_730_L3,n_set2_pink_730_R1,n_set2_pink_754_L3,n_set2_pink_847_L1,n_set2_purple_552_L1,n_set2_purple_552_R2,n_set2_purple_552_R4,n_set2_purple_573_R4,n_set2_purple_608_L4,n_set2_purple_610_R2,n_set2_purple_632_R1,n_set2_purple_843_L2,n_set2_yellow_599_R2,n_set2_yellow_670_R4,n_set2_yellow_672_R1,n_set2_yellow_672_R6,n_set2_yellow_686_R2,n_set2_yellow_752_L1,n_set2_yellow_753_R3,n_set2_yellow_847_L4,n_solv2,n_solv3,n_solv4
Hypotaurine,C2 H7 N O2 S,109.0200,5.91,300-84-5,37459.2408369522,34727.6180779114,35803.0456720123,40383.8769853516,38563.3453764114,28115.2983207474,28078.0889817047,32044.7000922622,49898.095938797,43356.1457594299,19084.6536448364,22860.2818579941,21463.9749822464,18595.4173814545,28612.6262752228,47334.1584854431,23626.324406723,25971.4364689484,24057.3974416733,43001.3812785339,52573.0214871903,19491.9578821411,40144.851499176,22750.7321670456,23577.1985962067,22928.1758021698,25212.1346097489,28141.1122196961,37193.9714583054,30282.6418992615,35709.8804749298,28051.884308815,32421.3804605789,25754.1032097854,46290.5233318024,28793.2726468429,43463.4643248977,29399.5863123474,21757.7076340408,24125.0916146927,22041.801976387,37884.2347338867,23247.0391015396,59329.1157981338,28482.2224263,17303.3731721497,32067.1775063858,30538.60891362,25697.6544708633,42164.6011941529,40045.447266922,58110.1003250122,39897.7037726745,24836.4711944656,45009.121050972,21502.6580001984,34392.5462983093,24201.4672067871,36083.491865097,20278.4347520447,22768.2892679215,21287.4358540116,47901.7628215103,61130.4938206177,49579.4722247773,22421.5346340714,22335.4963114318,27290.0003242035,19318.0273276062,49705.1118611298,38642.3781573944,20581.8684332963,19735.9013684082,22123.3210550995,40230.6917582016,25908.2643539429,34307.0010569382,21793.7803482361,39075.4971418228,26327.4640787277,27295.3469010849,33680.2181005554,22280.2828101502,27272.426679718,29609.1389115677,30843.947510643,1720.65641464234,43213.7517515946,33353.3757302704,27932.0108009109,25408.7197303619,17891.6800029678,15361.0990077667,14930.5800817032,25690.1596478272,41843.6081431122,1764.02721370698,1642.82606621551,1068.37291481018
Pyrrole-2-carboxylic Acid,C5 H5 N O2,111.0323,1.70,634-97-9,1201.78504805755,942.07317676544,1161.03077915191,2170.54361600494,1757.53284591675,1146.28284480285,1107.58738225556,3108.48752448273,2041.09924319458,2801.2760409851,344.742190780641,1840.02485092163,125.439611740111,,3281.93695437622,1597.65128479004,229.349595184327,122.05305027771,1054.75999927521,957.6614641037,1605.88059075165,1594.4756538086,2585.93990463257,1131.59388519287,2474.10541757965,1728.01821414948,1643.10543243408,3436.05769683075,2139.02418365479,1628.13443961334,3359.38276861572,345.648934936525,1779.69559661865,1451.15143266296,1649.82378344727,493.327896720887,1249.75962631226,854.451441093447,153.707610931397,987.130214385984,809.443007705688,1080.63721290589,449.135858154298,2899.80208781433,3097.95633016968,2270.68651714325,594.4292689209,471.621869773865,1204.97595697785,4968.53854276276,2855.0619420166,4033.61526516724,2420.92822225189,11252.6303945465,8109.27653670501,360.41266647339,2470.80279289246,697.257819061282,858.575177421571,705.435862464906,,374.521804733278,1807.30987706757,4150.35308008575,3349.0747587738,1682.1481648941,528.389537849423,704.027579765319,1888.85293254089,3042.61025332642,2928.03109666443,1226.87502331543,123.59660106659,1046.3329876709,914.759655494688,113.441197090149,5386.23019644165,3628.94667591095,1241.60832125854,361.953568267821,794.004350532526,815.974432182313,294.698735923767,693.172549850465,2404.28023506165,2540.56690452576,2029.96473109436,1725.76490090942,597.934368705749,1150.21527824402,1412.12781440735,281.532999954225,8246.76827344513,,860.073112754823,1374.95631053924,,,
Cytosine,C4 H5 N3 O,111.0435,2.83,71-30-7,1191.15449342346,1411.45314627838,614.239472694398,1975.65042511749,2514.04098753358,1109.29786344909,1311.11323406982,1242.35782592773,1906.29248823548,940.782390609745,,2518.63289468384,1856.22767094421,,756.350276336672,850.163487503054,409.467680168159,325.703199554442,968.578326744086,1398.14328304291,1678.58632184601,1181.84432506562,2609.23421853638,637.720408401491,432.387689010621,1553.6234375,1412.67871488953,1466.96455387116,1978.88529581452,1501.67640632629,934.3959127655,297.317792243958,1103.56126987457,1278.09940074921,1406.79390041351,1600.58530667115,2268.0389741211,2739.61277965546,849.130056114197,2217.33594895935,1010.17163963318,767.755078201289,359.970726814267,2150.88856769561,701.732859497063,1575.76762775421,620.398145561219,,1053.93411039734,3931.87663513947,2591.72486136627,2867.31727857208,2065.35241749572,3985.1753926239,5204.61148031616,1340.51554912568,1169.28591680145,903.428895660402,950.172832946779,697.819215690618,101.947125000001,370.140926132199,2434.81414339447,2708.1984159546,2214.00333542633,1880.25190793609,1270.17008457184,1277.32294354249,1975.64145629119,1107.44790512085,2915.92904518128,486.391985549926,408.205658035278,625.848927001952,1545.76314079285,115.125990982055,3136.48081746674,1025.219184021,627.804295730585,384.264905281063,1581.43400884247,1126.52855899811,807.028655548088,889.56165550232,2127.76959383392,885.123933639525,,1391.3042290802,1722.95916229248,1385.71902191162,1270.76172672272,1082.06889170075,595.133708335873,601.947539611819,1290.84239642334,1412.43547991181,,,
Histamine,C5 H9 N3,111.0798,7.80,51-45-6,710.398337348941,808.207255142215,1446.8111808014,1753.01807169343,1002.48683753967,1148.8086504364,856.294010704036,1121.32037432099,2054.76746139526,2847.01735914614,245.818169097904,395.574676536559,583.156965332031,121.005533676146,454.209544372554,2353.67158181762,,429.466055145265,369.338749465941,1475.63474007416,1089.30322853852,2556.14915487674,2024.19281002045,694.985933265686,473.708718910219,360.917795677188,1966.80307565308,945.032700538651,1606.07072654723,1571.76710861206,1356.01255018615,1293.68925739289,550.38634670257,321.616194183351,1744.52549702453,812.584590301522,2631.16944618225,256.824301414487,749.28428237915,654.148870162958,155.281337280272,711.29105147553,1292.6719634552,1926.55915466308,1046.07543182372,234.563347511289,1131.90222854615,1752.83739227295,1300.5804856491,1681.91296212005,1667.74420799254,2214.00262064362,803.862998123176,212.027165336612,2799.50901219178,367.876182693481,110.144917984008,361.836974296573,1466.66544869995,106.470921173095,,,1606.08199305726,1859.5744982605,2078.32375469209,106.597809173579,542.141659736636,1099.39060308838,463.503700309751,1400.69502070617,2497.72248011781,,501.224129409799,1186.19230618286,1749.46912770083,,939.506685173041,679.639543640141,2651.3649501953,738.036915397637,1799.92472080994,1636.75016946412,970.544065048213,1226.44948703003,965.152023712159,615.603551559442,,2307.1995627289,1703.17179878998,1397.59324375151,1255.93713545227,372.019365158077,453.960251571654,115.088330802916,848.91397088623,1451.88585871887,,,
Uracil,C4 H4 N2 O2,112.0274,1.18,66-22-8,18960.3390258102,19349.5531752625,19669.8022386017,22299.3043615966,22054.0786049638,17703.5035725861,17023.5643466568,34269.8823272371,32295.2923135529,20014.30886409,12190.4480789032,51087.7930670471,21945.6292877655,5031.45621665192,8986.31953845978,24103.9931098633,7346.19670401001,8847.66657147217,15865.9838300934,11416.3319342575,12318.3842923813,14405.7689307349,25995.2640213547,14771.5713862991,6525.33705703735,8728.76592373657,14333.2307563188,18421.4097175446,18369.46415762,16113.207013443,9303.04683370972,16668.891480629,13039.6220303497,11644.9043099823,17855.9256777496,11529.2714281082,22553.5283282297,10710.3352014236,10326.5114031753,11441.5758544502,7808.21387652588,8987.82763885498,14829.5567770386,20209.3963987003,13039.2297198944,7433.57703983307,17753.7837882538,13922.7559530716,11211.3667657547,23543.5467569427,22164.1733226242,43701.2680333083,35545.9846380005,97822.2003996277,162871.558272339,7793.59231903076,9371.72266969299,7854.23707632446,19944.9275465698,9715.9721024704,6113.34150565338,8633.67864051819,17066.6223195038,20930.5935036469,21871.1526674194,17178.5139170151,8700.80711952209,25980.3137810974,12929.3416052704,17935.5060891673,24597.7625731201,6709.7946250763,9187.86445207977,13124.8630975734,36639.6051439514,9267.898730896,15009.2882708588,14340.7956168213,28650.9960151978,11581.8761301727,26992.2562968445,11096.8163866882,15434.2970567322,33319.4412698364,11631.061883664,9786.8847332306,6481.87426687622,12574.484013495,15246.4981515145,16525.9318059235,16321.8621927195,12121.7540197296,7666.46327650452,12215.1094664688,14592.3363451386,15438.8302846197,,,
Creatinine,C4 H7 N3 O,113.0589,1.77,60-27-5,1677.49233394623,1390.85164916229,1184.85028672791,1501.11557254791,1757.23845787048,1141.60631008148,994.405051155091,1428.84148067475,2275.59735647583,2113.98610038757,2386.16806874084,464.239745903017,1298.52969530487,2897.27921737671,1724.09460211945,2168.07553231811,1418.77385128784,106.683293914795,369.338311119081,2396.09383293915,1973.30469070435,2466.52825874329,1782.0306118927,1297.33239578247,1648.61534501648,380.187795516968,258.142134780884,2308.40381906891,2437.05976581574,1834.0972166748,2271.38912193298,2159.28713588714,1388.59889072418,939.697442703251,1153.89475593567,1042.138125,2537.85660467529,632.710526618958,1381.12090136719,3144.67498147583,2035.54857424927,1333.65703155517,2160.2586366272,4244.4028813324,4639.21220979309,1036.43324886322,924.728362480164,2353.83986169433,481.564938964846,1878.59927571869,1066.88948635102,1593.08190460205,1015.16044811249,252.320882614136,1979.90134819031,653.979411209107,954.863452697753,936.764676902772,530.199274589538,579.253925399777,1285.14763636017,652.928933906554,2243.06952721405,1873.88130157471,2565.49653114319,1443.13965873718,1534.5471611023,610.332394218443,1093.10902126312,1164.57034179687,2041.23408979797,232.753131027223,1175.45041461944,2916.43270930481,1574.91621399689,1362.1887279129,510.398578994749,642.584037208554,2351.92135101318,685.53124698639,1917.25125498962,1921.64966499328,302.070623580932,1001.42278837585,1600.56130537414,848.242674804684,231.081917877198,2080.20136481476,1777.14503961945,1808.44392776489,3556.64410334778,375.624456214905,1642.86328723908,1344.99337554932,1796.05575016022,1360.66918029785,,,
Proline,C5 H9 N O2,115.0636,4.85,147-85-3,387817.771491348,358840.416669052,356281.631477112,365419.739889374,394881.652386566,306767.080525589,282479.041736015,437415.203748329,343358.105649704,443010.236405014,298594.143700623,12130.2646853333,291213.030042603,268606.742598015,247596.707125,411170.233118759,249101.454946739,242633.956299271,274097.39825969,353537.810878792,407290.940633492,223076.361841919,395179.720329239,256024.842039963,274092.922981415,224955.073016647,260618.785005928,282386.87179158,308228.500595108,300799.298678352,318020.071256226,257137.231236099,285195.08097821,284140.762855865,312346.04100354,315247.135637604,550065.04069191,219719.144086899,266196.668213615,340625.067832977,278593.450582001,339460.446166214,304438.441828674,361700.520958603,294065.598661011,210155.556115311,278977.248392822,310440.955167786,210608.57140181,341184.231402664,350939.998107826,401719.631102326,373767.610289993,32786.6482743073,91618.3657362442,239835.97651976,55120.0823928986,263409.107113739,431306.078364716,226276.582317406,219590.831626587,248339.965645569,398791.928640732,449566.1992854,383973.913492775,249214.498483345,311988.738778946,310895.883625794,226937.70044117,443853.397577743,424890.15336679,31127.4645609894,291585.304809235,267801.446021866,357579.684169464,239040.034296165,324177.918406136,290980.439306214,355049.673248367,302070.883069107,360585.063012589,349580.347558808,318839.442050987,364163.198931412,257823.222043289,271756.6435318,30115.7233542938,466543.185021377,302014.994221291,328494.463142578,257867.849961136,262084.517816971,267371.523286407,280299.642815018,272732.004751709,303293.632016136,,110.414149169927,
Maleic Acid,C4 H4 O4,116.0109,0.97,110-16-7,117.363921127319,439.773618087769,355.681011505128,383.96841392517,252.294323120116,,375.866222267152,377.622209892273,167.706205444335,183.939906158447,640.402760543823,120.683027114868,,,1424.00109145355,482.491737548827,602.482178840637,724.44230430603,397.035757675172,645.77720439911,1368.46270322418,365.277977416994,108.620830802917,251.00563293457,1080.60945930481,,1934.88247547913,478.656732025148,103.512095794678,220.182207260131,889.025326271056,844.301529037476,422.269840927123,791.006815361023,523.195029335022,,1194.48879193115,,213.498645172119,628.588325767517,621.68380683899,125.501768875123,348.957557411194,2475.3803813324,460.839755172731,356.943026046753,193.56714149475,422.036804809569,380.772382286071,364.297115440368,,648.918933990477,,415.774162216187,755.070605728149,471.810656509399,330.685555831908,131.890502090454,427.789793815612,157.037784957885,479.222629165649,196.730323257446,134.793729171753,,100.73870941162,112.822472457886,241.24350112915,237.609396324157,333.410067520142,357.553631561279,163.429949417114,517.396088180542,156.927468948364,,229.36245475769,913.575453735352,329.841500900269,310.761539421082,444.036991767882,2999.39869818115,523.280628242492,575.215465202332,,425.515539550781,402.728337593079,124.42266544342,,565.585914535523,478.951295204163,153.925525283814,718.255209808349,284.346414985657,101.174249649048,155.532486114503,735.86151435852,933.371092445373,,,
Fumaric Acid,C4 H4 O4,116.0111,6.36,110-17-8,386122.526063629,360720.75789753,361096.819962967,363653.07467575,397186.634041084,317415.740461212,301018.105277023,387249.429833358,348046.529812943,466737.06566896,262428.679305588,44154.919756691,262019.651539795,270461.818374779,322885.123666481,419833.519195847,327058.017727325,269298.53010228,280860.500275726,372054.560999115,420992.078889565,301874.959428444,383734.796920799,301253.439773605,275901.4786511,248981.338002693,282902.679329407,295592.631377396,329699.755990784,304525.990872559,347372.060019364,271133.696916039,269343.777459976,327436.63644706,344765.186929184,383166.330093719,488052.474314087,290350.294899017,325537.562801849,393311.563863189,312932.853783615,385726.46473526,309514.231601761,321265.337025116,387444.210813019,258619.444414291,264562.100155456,328968.27614814,256650.330809586,360553.89154493,361513.589203392,348741.780914307,330402.964802979,31159.1413520203,96963.143973671,266987.394948402,65994.3283233262,300148.124994232,371401.139459244,285936.542591263,249936.762936585,268724.571104904,386452.308577942,405502.59358667,363905.601430588,310543.040699356,353642.45063794,274305.681958893,275426.200997864,398004.102260345,372915.590354324,62775.0297078629,255477.911954864,345322.746522705,335424.717540787,231385.994455017,378213.191648132,329150.905208633,318951.450056946,336501.923183098,339555.701518463,390804.62998233,328985.063723228,301317.514082688,311995.261952148,316553.276245468,827.704074043264,435933.252832962,312652.915509834,319517.928522308,293443.504220863,259676.6985737,257052.014761109,306723.937800095,278142.381038856,353834.951275108,,105.37882911682,
Valine,C5 H11 N O2,117.0792,4.54,72-18-4,230691.535174518,221906.498284897,218857.573475996,232057.555433116,234781.977178016,185760.263548584,178760.575782547,308708.711380176,260306.272374918,295944.166099209,174871.511594032,89767.8012935133,196306.136834076,110853.605484138,129910.477277779,252124.572668037,101671.299687866,139554.765326668,182363.019600922,192039.175747675,237272.719411826,166790.704173698,270382.067722199,175419.213085083,131076.548170685,137108.56412027,176506.495646538,148533.448297473,188907.259223109,193484.734727463,205021.971112139,167815.258634521,163516.458148018,177806.331254555,203099.517314216,143683.50726322,340889.247826973,104165.408548096,127134.039316544,164649.089988487,103795.249409508,178399.731931138,159383.40295583,193657.182937899,149033.551390642,111639.14280661,183448.651351517,197735.143892288,134602.355236175,196686.262161244,241035.457760791,298170.108993718,279518.87514827,144973.276027199,385014.600695297,126697.210609154,48549.2072545738,125939.62502594,271879.497865311,116780.377888397,108789.428043396,93584.0017005691,250291.568468183,307076.228968451,266597.166778977,114915.356692276,138571.175932739,208065.712296349,102990.106764424,239700.517386461,297937.154092346,23841.3998741021,139567.927874939,131826.735675195,245895.875486878,118006.477858688,202197.479649116,180408.351816485,225617.06568422,163415.484412186,232850.206676362,186848.995984878,174341.914879036,265247.500472397,117604.77720955,168425.083313324,19474.1363674621,256949.011694987,154471.357470033,195080.561528849,163159.02658139,150683.259794182,195088.529221146,149326.601630058,129735.533923576,196554.177031677,1785.23936508727,2436.86842748928,506.038240539548
Succinic Acid,C4 H6 O4,118.0268,5.62,110-15-6,149877.657748115,139225.641309936,143124.322192634,156429.580050201,183965.494023598,137167.364411278,127298.004510346,144186.468071884,146038.445386871,320383.456363678,88261.0752969742,38044.0240115509,94678.7024519501,81361.7967706451,136517.110309166,188832.813084655,134535.209801033,147123.997636871,113786.351063057,177734.086248451,229796.322135246,123975.13335894,208584.246389694,96600.5723826446,139935.83268985,105874.642685417,107802.265963135,98713.6612968368,119598.792535324,113285.160262329,144978.54457,95597.8109152603,94902.7528637465,152700.294987755,188301.033420464,189755.719820099,275754.947856674,107445.377104019,120966.829705467,132844.94719062,102935.164329567,181030.173455299,98101.7553256455,139310.475784805,163195.106856979,82153.5749613572,102740.816182686,123652.959496185,148283.740363922,196183.010895638,195634.413262512,174669.045428192,141905.397483284,28950.2228678436,33741.595464302,100703.431493286,60911.0276785431,160069.633052177,214344.298310264,94360.7197358398,75201.8410155716,83136.0465804825,192696.295001457,229964.397329239,150967.921211907,110759.525864883,155284.887778786,150875.699436394,124975.917289093,213135.354975693,167270.898234421,51963.6784450454,77751.0594202728,140573.305517227,124737.488340462,85608.7586557083,271470.41210701,152647.209783211,112989.278356064,220939.249777992,112446.774514374,186559.614337021,119584.397670449,125128.604576607,134508.083977173,253434.745678596,28088.3134533233,227142.676647721,114738.674254715,114599.858443741,103103.114501785,84751.9227085038,98981.974059204,108116.529569557,114628.484300224,189622.639657524,11668.8699499283,11780.7456399078,21554.0119578934
