Well,Group,Measurement,Time,OCR,ECAR,PER
H02,1. GLN Dependency -vpa,3,14.51460816,136.4163198,23.93110562,0
H03,2. GLN Capacity-vpa,3,14.51460816,103.4707289,34.62386374,0
H04,2. GLN Capacity-vpa,3,14.51460816,17.62537129,26.44747486,0
H05,3. FA Dependency-vpa,3,14.51460816,177.9712028,31.78783656,0
H06,3. FA Dependency-vpa,3,14.51460816,186.3437462,35.80792826,0
H07,4. FA Capacity-vpa,3,14.51460816,156.6646662,39.52932264,0
H08,4. FA Capacity-vpa,3,14.51460816,135.9739913,28.97864654,0
H09,5. GLC Dependency-vpa,3,14.51460816,161.8523118,40.42232072,0
H10,5. GLC Dependency-vpa,3,14.51460816,272.7536773,51.80613948,0
H11,6. GLC Capacity-vpa,3,14.51460816,184.6155023,44.31352433,0
H12,Background,3,14.51460816,0,0,0
A01,Background,4,21.16965406,0,0,0
A02,1. GLN Dependency -ctl,4,21.16965406,142.1916362,32.11718213,0
A03,2. GLN Capacity-ctl,4,21.16965406,100.5486415,24.33951471,0
A04,2. GLN Capacity-ctl,4,21.16965406,88.81235291,24.18381178,0
A05,3. FA Dependency-ctl,4,21.16965406,115.5397403,27.98502949,0
A06,3. FA Dependency-ctl,4,21.16965406,92.61428357,23.23005122,0
A07,4. FA Capacity-ctl,4,21.16965406,108.6475651,27.08189601,0
A08,4. FA Capacity-ctl,4,21.16965406,112.5681663,27.04469712,0
A09,5. GLC Dependency-ctl,4,21.16965406,106.74767,26.93464124,0
A10,5. GLC Dependency-ctl,4,21.16965406,110.5142503,29.87241678,0
A11,6. GLC Capacity-ctl,4,21.16965406,128.1724277,35.71913458,0
A12,Background,4,21.16965406,0,0,0
B01,1. GLN Dependency -ctl,4,21.16965406,151.9214803,41.21495267,0
B02,1. GLN Dependency -ctl,4,21.16965406,105.3887989,25.99968021,0
B03,2. GLN Capacity-ctl,4,21.16965406,126.7692535,34.11217276,0
B04,2. GLN Capacity-ctl,4,21.16965406,90.65462833,23.45317213,0
B05,3. FA Dependency-ctl,4,21.16965406,98.37378863,20.41284946,0
B06,3. FA Dependency-ctl,4,21.16965406,97.75104107,20.82923773,0
B07,4. FA Capacity-ctl,4,21.16965406,108.0812013,27.47421989,0
B08,4. FA Capacity-ctl,4,21.16965406,185.352101,39.37486146,0
B09,5. GLC Dependency-ctl,4,21.16965406,73.46578162,34.98795934,0
B10,5. GLC Dependency-ctl,4,21.16965406,112.3719111,26.48193717,0
B11,6. GLC Capacity-ctl,4,21.16965406,117.0091967,28.15360339,0
B12,6. GLC Capacity-ctl,4,21.16965406,113.6546335,30.43316363,0
C01,1. GLN Dependency -ctl,4,21.16965406,85.25912754,26.71868539,0
C02,1. GLN Dependency -ctl,4,21.16965406,102.8032056,24.06837981,0
C03,2. GLN Capacity-ctl,4,21.16965406,97.65033543,26.38546405,0
C04,2. GLN Capacity-ctl,4,21.16965406,112.0816971,32.22768367,0
C05,3. FA Dependency-ctl,4,21.16965406,129.7504584,27.68308963,0
C06,3. FA Dependency-ctl,4,21.16965406,113.4226225,22.81835919,0
C07,4. FA Capacity-ctl,4,21.16965406,138.0788566,37.57250913,0
C08,4. FA Capacity-ctl,4,21.16965406,113.745535,31.78766817,0
C09,5. GLC Dependency-ctl,4,21.16965406,98.79279948,25.66662602,0
C10,5. GLC Dependency-ctl,4,21.16965406,132.92858,30.79200131,0
C11,6. GLC Capacity-ctl,4,21.16965406,84.04357737,21.18200896,0
C12,6. GLC Capacity-ctl,4,21.16965406,100.2186093,22.67230711,0
D01,1. GLN Dependency -ctl,4,21.16965406,165.8685873,31.9253681,0
D02,1. GLN Dependency -ctl,4,21.16965406,178.4399079,38.05257086,0
D03,2. GLN Capacity-ctl,4,21.16965406,143.8089246,34.54644341,0
D04,2. GLN Capacity-ctl,4,21.16965406,205.219008,38.08235421,0
D05,3. FA Dependency-ctl,4,21.16965406,164.1245529,33.57606522,0
D06,3. FA Dependency-ctl,4,21.16965406,94.4694201,20.08016781,0
D07,4. FA Capacity-ctl,4,21.16965406,189.5558464,35.47876446,0
D08,4. FA Capacity-ctl,4,21.16965406,159.5182155,33.46398691,0
D09,5. GLC Dependency-ctl,4,21.16965406,173.3575257,38.8310628,0
D10,5. GLC Dependency-ctl,4,21.16965406,219.0095326,39.88719206,0
D11,6. GLC Capacity-ctl,4,21.16965406,156.2908487,30.06643619,0
D12,6. GLC Capacity-ctl,4,21.16965406,309.5022219,60.79175815,0
E01,1. GLN Dependency -vpa,4,21.16965406,150.7035769,39.7951453,0
E02,1. GLN Dependency -vpa,4,21.16965406,108.2023763,29.02635429,0
E03,2. GLN Capacity-vpa,4,21.16965406,157.4973059,45.39756887,0
E04,2. GLN Capacity-vpa,4,21.16965406,119.7729433,31.98121775,0
E05,3. FA Dependency-vpa,4,21.16965406,126.4897677,30.43880167,0
E06,3. FA Dependency-vpa,4,21.16965406,158.9896568,33.30204589,0
E07,4. FA Capacity-vpa,4,21.16965406,137.2666116,41.96099907,0
E08,4. FA Capacity-vpa,4,21.16965406,143.9076464,42.46191607,0
E09,5. GLC Dependency-vpa,4,21.16965406,128.9397348,40.3955544,0
E10,5. GLC Dependency-vpa,4,21.16965406,104.1856859,28.00784813,0
E11,6. GLC Capacity-vpa,4,21.16965406,99.64277685,30.01279424,0
